,Year,NOC,Total,Event number,Medal share,GDP,GDP/capita,population (millions),GNI,number of 65+
212,1988,TUR,2,237,0.28,263489521766.27,5040.364148104795,52.27589,88339821366.0491,4.656366443498141
213,1988,UGA,0,237,0.0,5737885313.50006,347.97579703545506,16.489323,6451931651.66667,2.8622400082768715
214,1988,USA,91,237,12.8,9288319548000.0,37989.192381154935,244.499,5256093000000.0,12.150792436778882
215,1992,ARG,1,257,0.13,313120244489.89,9327.859450963611,33.568285,224530580052.493,8.984188498161286
216,1992,AUS,26,257,3.37,631100347785.005,36106.958454421925,17.478635,312976236253.172,11.442518251568272
217,1992,AUT,2,257,0.26,254121610895.057,32410.53977325992,7.840709,195560524668.169,14.913995660341431
218,1992,BEL,2,257,0.26,303409615205.607,30204.563751571353,10.045158,236359025094.103,15.363700600826785
219,1992,BEN,0,257,0.0,4247544481.2222,778.2552682102863,5.457778,1634867229.43653,3.608996188558787
220,1992,BRA,3,257,0.39,921637785237.654,5911.694130848561,155.90079,321997047142.546,4.659885302697953
221,1992,BRN,0,257,0.0,9827414750.71564,35424.83040169146,0.277416,4183548189.07305,2.524728206015515
222,1992,CHN,50,257,6.49,1282217440753.01,1100.6441717409118,1164.97,427130409854.003,5.514049202983768
223,1992,CIV,0,257,0.0,22700739530.1886,1768.2025482620693,12.838314,9807255443.8785,2.6732560054225187
224,1992,COL,1,257,0.13,127866720249.853,3767.540979868434,33.939039,56161793342.7437,3.9966659044176236
225,1992,CUB,31,257,4.02,41653580519.2294,3862.6255471872487,10.783748,21760981486.4865,8.69747698110156
226,1992,CYP,0,257,0.0,10956932901.5103,13519.88374273726,0.810431,6866387744.45893,9.830941807507363
227,1992,DOM,0,257,0.0,22433236056.9181,3020.3593826212477,7.42734,11164249000.0,3.466422703148099
228,1992,ESP,21,257,2.72,763103054853.539,19487.951211966156,39.157685,623343892410.206,14.286603000151821
229,1992,ETH,3,257,0.39,11215579531.3139,215.6363090269116,52.011554,10429217520.0714,2.7028744420903092
230,1992,FIN,4,257,0.52,141957736303.906,28155.089556648643,5.041992,107990419431.909,13.688121678891992
231,1992,FRA,27,257,3.5,1705347110174.84,28977.888902540486,58.849943,1406931846344.49,14.558398127930216
232,1992,GBR,18,257,2.33,1797605961499.99,31219.058899588614,57.580402,1224107718497.72,15.78768588659732
233,1992,GHA,1,257,0.13,14400776078.7154,886.6627786166318,16.241548,6307702517.16247,2.7292287656324383
234,1992,IND,0,257,0.0,495935560738.554,546.4408786092936,907.574049,283799332762.87,4.132031104384299
235,1992,IRL,2,257,0.26,85805227886.166,24113.22630659195,3.55843,51544038590.3792,11.495996830062696
236,1992,IRQ,0,257,0.0,29556579891.8742,1607.587597792814,18.385673,547518518.518518,3.5661028018936265
237,1992,ITA,19,257,2.46,1596444514474.62,28107.85902584441,56.797087,1298792413197.17,15.696401824269616
238,1992,JAM,4,257,0.52,11514569744.1217,4729.603513436725,2.434574,3241559448.26505,6.8804234334220284
239,1992,JOR,0,257,0.0,13476276772.6904,3485.045405436052,3.866887,4962930273.60989,2.372114830353201
240,1992,JPN,18,257,2.33,3665890719855.77,29462.653967094797,124.425,3942653569288.27,13.412278079164155
241,1992,KEN,8,257,1.04,30622860607.1691,1242.0183584626216,24.655723,7854637369.32284,2.124009910396868
242,1992,MAR,3,257,0.39,38140350597.2209,1501.5486437140846,25.400676,32789119126.2591,3.2975303491922814
243,1992,MEX,1,257,0.13,675781907471.657,7951.014830694584,84.993164,353562749232.609,4.236541894122214
244,1992,MLT,0,257,0.0,3969078220.34839,10796.746134162066,0.367618,3166473280.38767,10.894461098205202
245,1992,NAM,2,257,0.26,4536309434.99777,3103.47525496072,1.461687,3465157152.87518,3.340181584703154
246,1992,NOR,7,257,0.91,225258737211.946,52551.95144176805,4.286401,128092686459.088,16.238168104197438
247,1992,NZL,10,257,1.3,87896461235.3772,24887.861719675282,3.5317,38955231816.2484,11.302970240960445
248,1992,PAK,1,257,0.13,112631328025.675,920.3772280134929,122.375179,47608413397.6312,3.4552676731937613
249,1992,PER,1,257,0.13,60586278760.7225,2628.785821227875,23.047248,34897208893.1542,3.7160054857742666
250,1992,POL,18,257,2.33,185686615838.017,4840.1685855008855,38.363667,90171446702.3696,10.431315129494791
251,1992,ROU,18,257,2.33,92481537217.6712,4057.2249261117922,22.794284,25031554166.6667,10.973479140647717
252,1992,SGP,0,257,0.0,80683081175.4437,24973.88526425054,3.230698,52161387354.205,5.662893900946483
253,1992,SUR,1,257,0.13,2753877326.7384,6564.337248286498,0.419521,403666666.666667,3.595767553948432
254,1992,SWE,12,257,1.56,289102037155.611,33352.53836358337,8.668067,272062878017.789,17.739168375140615
255,1992,TUR,5,257,0.65,305464855325.057,5425.46720512185,56.302037,155844623188.406,4.830807453733867
256,1992,USA,106,257,13.75,10145647340000.0,39552.02187794818,256.514,6435469000000.0,12.396845396352637
257,1996,ARG,3,271,0.37,367643757074.802,10388.538710440782,35.389362,266647700700.0,9.458975270591202
258,1996,ARM,2,271,0.25,3264729194.59891,989.6423577203387,3.298898,1641698946.23708,7.892635661969543
259,1996,AUS,41,271,5.04,736682216065.674,40422.037552835325,18.224767,387127465857.36,12.005997113707956
260,1996,AUT,3,271,0.37,274886456416.226,34537.73957465174,7.959017,237117494151.287,15.21974384525124
261,1996,AZE,1,271,0.12,8582372204.00014,1105.5483967538503,7.763,3167150993.83936,5.1064794538194
262,1996,BDI,1,271,0.12,1932822941.95387,325.911923205532,5.930507,855125492.320396,2.521892310387628
263,1996,BEL,4,271,0.49,321781927100.664,31681.936363450226,10.156637,285695114006.515,16.19117627222475
264,1996,BEN,0,271,0.0,5073825258.08595,817.8497351787355,6.20386,2315095356.60472,3.4055088283745927
265,1996,BLR,14,271,1.72,19768885050.6478,1945.8389475624213,10.159569,14772769230.7692,12.91534119213128
266,1996,BRA,15,271,1.85,1090425612783.91,6567.3603568237595,166.037122,839052100885.484,5.079583949907299
267,1996,CHN,50,271,6.15,2013134753757.7,1653.4308683484867,1217.55,851309717503.789,6.146786086813683
268,1996,CIV,0,271,0.0,26359663603.0715,1779.742063948616,14.810946,11223283348.6853,2.710542594645879
269,1996,CMR,0,271,0.0,14452914961.4216,1064.6460417019587,13.575324,10514126704.9084,3.4302754026349573
270,1996,COL,0,271,0.0,153090270582.295,4179.075015623254,36.632573,95097412814.6927,4.254134701376286
271,1996,CUB,23,271,2.83,39455999445.9835,3599.004640777126,10.963031,24524568700.0,9.207699950862128
272,1996,CZE,11,271,1.35,120805040906.55,11711.315412461037,10.315241,66384038430.3671,13.317352449642234
273,1996,DOM,0,271,0.0,27677806561.0305,3454.4086216579253,8.012314,17516877243.8606,4.049454377349664
274,1996,ECU,1,271,0.12,51449720654.55,4369.32102204706,11.775221,24202981490.7454,4.500900662501366
275,1996,ESP,15,271,1.85,815691686929.687,20448.60148715736,39.889852,633528195192.434,15.550706981815827
276,1996,ETH,3,271,0.37,15623619245.3033,263.25590833940703,59.347649,8504359178.89306,2.6233625530810833
277,1996,FIN,4,271,0.49,158391841239.844,30908.300309087994,5.124573,129148330313.228,14.400341257700886
278,1996,FRA,36,271,4.43,1796159810500.7,30057.96555333456,59.756533,1619352481087.32,15.48626658109499
279,1996,GBR,15,271,1.85,1999081845521.52,34368.00185537526,58.16695,1376651925117.0,15.805306965553461
280,1996,GEO,1,271,0.12,5350426783.58965,1191.181061685044,4.491699,3023800304.02432,10.960819057554836
281,1996,GHA,0,271,0.0,16986311933.069,951.9335582679566,17.84401,6791288685.01529,2.970643930372153
282,1996,HUN,20,271,2.46,79346116187.6974,7695.110537425031,10.311238,44550212281.0385,14.394896131773896
