Year,NOC,ID,Gold,Silver,Bronze,Female_Gold,Female_Silver,Female_Bronze,Male_Gold,Male_Silver,Male_Bronze
1932,MEX,MEX1932,0,2,0,0,0,0,0,2,0
1932,NED,NED1932,2,3,3,0,0,2,2,3,1
1932,NZL,NZL1932,0,1,0,0,0,0,0,1,0
1932,PHI,PHI1932,0,0,3,0,0,0,0,0,3
1932,POL,POL1932,3,2,4,1,1,1,2,1,3
1932,RSA,RSA1932,2,2,1,0,2,0,2,0,1
1932,SUI,SUI1932,0,1,0,0,0,0,0,1,0
1932,SWE,SWE1932,10,5,9,0,0,0,10,5,9
1932,TCH,TCH1932,1,3,2,0,0,0,1,3,2
1932,URU,URU1932,0,0,1,0,0,0,0,0,1
1932,USA,USA1932,44,33,33,11,4,7,33,29,26
1936,ARG,ARG1936,2,1,4,0,0,1,2,1,3
1936,AUS,AUS1936,0,0,1,0,0,0,0,0,1
1936,AUT,AUT1936,5,8,4,0,1,0,5,7,4
1936,BEL,BEL1936,0,0,3,0,0,0,0,0,3
1936,CAN,CAN1936,1,5,3,0,2,0,1,3,3
1936,DEN,DEN1936,0,2,3,0,1,1,0,1,2
1936,EGY,EGY1936,1,1,2,0,0,0,1,1,2
1936,EST,EST1936,2,2,3,0,0,0,2,2,3
1936,FIN,FIN1936,8,6,6,0,0,0,8,6,6
1936,FRA,FRA1936,7,6,6,0,0,0,7,6,6
1936,GBR,GBR1936,4,5,5,0,0,2,4,5,3
1936,GER,GER1936,38,31,32,3,5,5,35,26,27
1936,HUN,HUN1936,10,2,4,2,1,0,8,1,4
1936,IND,IND1936,1,0,0,0,0,0,1,0,0
1936,ITA,ITA1936,9,13,5,1,0,0,8,13,5
1936,JPN,JPN1936,6,4,10,1,0,0,5,4,10
1936,LAT,LAT1936,0,1,1,0,0,0,0,1,1
1936,MEX,MEX1936,0,0,3,0,0,0,0,0,3
1936,NED,NED1936,6,3,8,4,0,1,2,3,7
1936,NOR,NOR1936,1,3,2,0,0,0,1,3,2
1936,NZL,NZL1936,1,0,0,0,0,0,1,0,0
1936,PHI,PHI1936,0,0,1,0,0,0,0,0,1
1936,POL,POL1936,0,3,6,0,1,2,0,2,4
1936,POR,POR1936,0,0,1,0,0,0,0,0,1
1936,ROU,ROU1936,0,1,0,0,0,0,0,1,0
1936,RSA,RSA1936,0,1,0,0,0,0,0,1,0
1936,SUI,SUI1936,4,9,4,0,0,0,4,9,4
1936,SWE,SWE1936,6,5,10,0,0,0,6,5,10
1936,TCH,TCH1936,3,4,2,0,0,1,3,4,1
1936,TUR,TUR1936,1,0,1,0,0,0,1,0,1
1936,USA,USA1936,24,23,10,4,4,2,20,19,8
1936,YUG,YUG1936,0,1,0,0,0,0,0,1,0
1948,ARG,ARG1948,3,2,2,0,0,1,3,2,1
1948,AUS,AUS1948,2,7,4,0,3,2,2,4,2
1948,AUT,AUT1948,2,5,1,1,3,0,1,2,1
1948,BEL,BEL1948,2,2,3,0,0,0,2,2,3
1948,BRA,BRA1948,0,0,1,0,0,0,0,0,1
1948,CAN,CAN1948,0,3,1,0,1,0,0,2,1
1948,DEN,DEN1948,5,7,10,3,2,3,2,5,7
1948,EGY,EGY1948,2,2,1,0,0,0,2,2,1
1948,ESP,ESP1948,0,1,0,0,0,0,0,1,0
1948,FIN,FIN1948,8,7,7,1,0,1,7,7,6
1948,FRA,FRA1948,11,8,13,2,2,0,9,6,13
1948,GBR,GBR1948,4,14,9,0,2,4,4,12,5
1948,HUN,HUN1948,10,6,11,2,2,1,8,4,10
1948,IND,IND1948,1,0,0,0,0,0,1,0,0
1948,IRI,IRI1948,0,0,1,0,0,0,0,0,1
1948,IRL,IRL1948,0,1,0,0,1,0,0,0,0
1948,ITA,ITA1948,9,10,12,0,0,2,9,10,10
1948,JAM,JAM1948,1,2,0,0,0,0,1,2,0
1948,KOR,KOR1948,0,0,2,0,0,0,0,0,2
1948,MEX,MEX1948,2,1,2,0,0,0,2,1,2
1948,NED,NED1948,5,3,8,5,2,1,0,1,7
1948,NOR,NOR1948,1,3,3,0,0,0,1,3,3
1948,PAN,PAN1948,0,0,2,0,0,0,0,0,2
1948,PER,PER1948,1,0,0,0,0,0,1,0,0
1948,POL,POL1948,1,0,1,0,0,0,1,0,1
1948,POR,POR1948,0,1,1,0,0,0,0,1,1
1948,PUR,PUR1948,0,0,1,0,0,0,0,0,1
1948,RSA,RSA1948,2,2,2,0,0,0,2,2,2
1948,SRI,SRI1948,0,1,0,0,0,0,0,1,0
1948,SUI,SUI1948,5,12,5,0,0,0,5,12,5
1948,SWE,SWE1948,17,12,17,0,1,0,17,11,17
1948,TCH,TCH1948,6,2,2,1,0,0,5,2,2
1948,TTO,TTO1948,0,1,0,0,0,0,0,1,0
1948,TUR,TUR1948,6,4,2,0,0,0,6,4,2
1948,URU,URU1948,0,1,1,0,0,0,0,1,1
1948,USA,USA1948,37,26,19,5,3,4,32,23,15
1948,YUG,YUG1948,0,2,0,0,0,0,0,2,0
1952,ARG,ARG1952,1,2,2,0,0,0,1,2,2
1952,AUS,AUS1952,6,3,2,3,1,0,3,2,2
1952,AUT,AUT1952,0,0,2,0,0,1,0,0,1
1952,BEL,BEL1952,2,2,0,0,0,0,2,2,0
1952,BRA,BRA1952,1,0,2,0,0,0,1,0,2
1952,BUL,BUL1952,0,0,1,0,0,0,0,0,1
1952,CAN,CAN1952,1,2,0,0,0,0,1,2,0
1952,CHI,CHI1952,0,2,0,0,0,0,0,2,0
1952,DEN,DEN1952,2,1,3,0,1,1,2,0,2
1952,EGY,EGY1952,0,0,1,0,0,0,0,0,1
1952,ESP,ESP1952,0,1,0,0,0,0,0,1,0
1952,FIN,FIN1952,6,3,13,1,0,0,5,3,13
1952,FRA,FRA1952,6,5,7,0,0,1,6,5,6
1952,GBR,GBR1952,1,4,6,0,3,1,1,1,5
1952,GER,GER1952,0,6,18,0,1,2,0,5,16
1952,HUN,HUN1952,16,12,14,6,6,4,10,6,10
1952,IND,IND1952,1,0,1,0,0,0,1,0,1
1952,IRI,IRI1952,0,3,4,0,0,0,0,3,4
1952,IRL,IRL1952,0,1,0,0,0,0,0,1,0
1952,ITA,ITA1952,8,9,4,1,0,0,7,9,4
1952,JAM,JAM1952,2,3,0,0,0,0,2,3,0
1952,JPN,JPN1952,1,5,1,0,0,0,1,5,1
1952,KOR,KOR1952,0,0,2,0,0,0,0,0,2
1952,LIB,LIB1952,0,1,1,0,0,0,0,1,1
1952,LUX,LUX1952,1,0,0,0,0,0,1,0,0
1952,MEX,MEX1952,0,1,0,0,0,0,0,1,0
1952,NED,NED1952,0,1,4,0,0,4,0,1,0
1952,NOR,NOR1952,3,2,0,0,0,0,3,2,0
1952,NZL,NZL1952,1,1,1,1,1,0,0,0,1
1952,POL,POL1952,1,2,1,0,0,0,1,2,1
1952,POR,POR1952,0,0,1,0,0,0,0,0,1
1952,ROU,ROU1952,1,1,2,0,0,0,1,1,2
1952,RSA,RSA1952,2,3,5,2,0,1,0,3,4
1952,SUI,SUI1952,2,5,6,0,0,0,2,5,6
1952,SWE,SWE1952,12,13,10,1,0,0,11,13,10
1952,TCH,TCH1952,7,4,2,1,1,0,6,3,2
1952,TTO,TTO1952,0,0,2,0,0,0,0,0,2
1952,TUR,TUR1952,2,0,1,0,0,0,2,0,1
1952,URS,URS1952,22,26,21,6,7,10,16,19,11
1952,URU,URU1952,0,0,2,0,0,0,0,0,2
1952,USA,USA1952,40,22,14,3,4,1,37,18,13
1952,VEN,VEN1952,0,0,1,0,0,0,0,0,1
1952,YUG,YUG1952,1,2,0,0,0,0,1,2,0
1956,ARG,ARG1956,0,1,1,0,0,0,0,1,1
1956,AUS,AUS1956,13,10,12,7,4,2,6,6,10
1956,AUT,AUT1956,0,0,2,0,0,0,0,0,2
1956,BAH,BAH1956,0,0,1,0,0,0,0,0,1
1956,BEL,BEL1956,0,2,0,0,0,0,0,2,0
1956,BRA,BRA1956,1,0,0,0,0,0,1,0,0
1956,BUL,BUL1956,1,3,1,0,0,0,1,3,1
1956,CAN,CAN1956,2,2,2,0,1,0,2,1,2
1956,CHI,CHI1956,0,1,3,0,0,1,0,1,2
1956,DEN,DEN1956,1,2,1,0,1,1,1,1,0
1956,FIN,FIN1956,3,1,11,0,0,0,3,1,11
1956,FRA,FRA1956,4,5,5,0,1,0,4,4,5
1956,GBR,GBR1956,6,6,12,2,1,2,4,5,10
1956,GER,GER1956,6,11,9,1,3,5,5,8,4
1956,GRE,GRE1956,0,0,1,0,0,0,0,0,1
1956,HUN,HUN1956,9,7,9,4,0,3,5,7,6
1956,IND,IND1956,1,0,0,0,0,0,1,0,0
1956,IRI,IRI1956,2,2,1,0,0,0,2,2,1
1956,IRL,IRL1956,1,1,3,0,0,0,1,1,3
1956,ISL,ISL1956,0,1,0,0,0,0,0,1,0
1956,ITA,ITA1956,8,8,9,0,0,0,8,8,9
1956,JPN,JPN1956,4,10,3,0,0,0,4,10,3
1956,KOR,KOR1956,0,1,1,0,0,0,0,1,1
1956,MEX,MEX1956,1,0,1,0,0,0,1,0,1
1956,NOR,NOR1956,1,0,2,0,0,0,1,0,2
1956,NZL,NZL1956,2,0,0,0,0,0,2,0,0
1956,PAK,PAK1956,0,1,0,0,0,0,0,1,0
1956,POL,POL1956,1,4,3,1,0,0,0,4,3
1956,ROU,ROU1956,5,4,4,0,2,1,5,2,3
1956,RSA,RSA1956,0,1,3,0,1,0,0,0,3
1956,SUI,SUI1956,0,0,1,0,0,0,0,0,1
1956,SWE,SWE1956,8,4,6,0,1,1,8,3,5
1956,TCH,TCH1956,1,3,2,1,0,1,0,3,1
1956,TUR,TUR1956,3,2,2,0,0,0,3,2,2
1956,URS,URS1956,35,28,29,6,6,4,29,22,25
1956,URU,URU1956,0,0,1,0,0,0,0,0,1
1956,USA,USA1956,32,23,19,4,4,6,28,19,13
1956,YUG,YUG1956,0,3,0,0,0,0,0,3,0
1960,ARG,ARG1960,0,1,1,0,0,0,0,1,1
1960,AUS,AUS1960,8,6,8,1,1,3,7,5,5
1960,AUT,AUT1960,1,1,0,0,0,0,1,1,0
1960,BEL,BEL1960,0,2,2,0,0,0,0,2,2
1960,BRA,BRA1960,0,0,2,0,0,0,0,0,2
1960,BUL,BUL1960,1,3,3,0,0,0,1,3,3
1960,CAN,CAN1960,0,1,0,0,0,0,0,1,0
1960,DEN,DEN1960,2,3,1,0,0,0,2,3,1
1960,ESP,ESP1960,0,0,1,0,0,0,0,0,1
1960,ETH,ETH1960,1,0,0,0,0,0,1,0,0
1960,FIN,FIN1960,1,1,3,0,0,0,1,1,3
1960,FRA,FRA1960,0,2,3,0,0,0,0,2,3
1960,GBR,GBR1960,2,5,12,1,3,3,1,2,9
1960,GER,GER1960,12,19,11,3,6,6,9,13,5
1960,GHA,GHA1960,0,1,0,0,0,0,0,1,0
1960,GRE,GRE1960,1,0,0,0,0,0,1,0,0
1960,HUN,HUN1960,6,8,7,0,1,1,6,7,6
1960,IND,IND1960,0,1,0,0,0,0,0,1,0
1960,IRI,IRI1960,0,1,3,0,0,0,0,1,3
1960,IRQ,IRQ1960,0,0,1,0,0,0,0,0,1
1960,ITA,ITA1960,13,12,11,0,2,0,13,10,11
1960,JPN,JPN1960,4,8,5,0,1,0,4,7,5
1960,MAR,MAR1960,0,1,0,0,0,0,0,1,0
1960,MEX,MEX1960,0,0,1,0,0,0,0,0,1
1960,NED,NED1960,0,1,2,0,1,1,0,0,1
1960,NOR,NOR1960,1,0,0,0,0,0,1,0,0
1960,NZL,NZL1960,2,0,1,0,0,0,2,0,1
1960,PAK,PAK1960,1,0,1,0,0,0,1,0,1
1960,POL,POL1960,4,6,11,0,2,2,4,4,9
1960,POR,POR1960,0,1,0,0,0,0,0,1,0
1960,ROU,ROU1960,3,4,3,1,3,0,2,1,3
1960,RSA,RSA1960,0,1,2,0,0,0,0,1,2
1960,SGP,SGP1960,0,1,0,0,0,0,0,1,0
1960,SUI,SUI1960,0,3,3,0,0,0,0,3,3
1960,SWE,SWE1960,1,1,4,0,0,1,1,1,3
1960,TCH,TCH1960,3,0,5,1,0,2,2,0,3
1960,TPE,TPE1960,0,1,0,0,0,0,0,1,0
1960,TUR,TUR1960,7,2,0,0,0,0,7,2,0
1960,UAR,UAR1960,0,1,1,0,0,0,0,1,1
1960,URS,URS1960,41,29,31,14,7,7,27,22,24
1960,USA,USA1960,34,19,18,8,1,3,26,18,15
1960,VEN,VEN1960,0,0,1,0,0,0,0,0,1
1960,WIF,WIF1960,0,0,2,0,0,0,0,0,2
1960,YUG,YUG1960,1,1,0,0,0,0,1,1,0
1964,ARG,ARG1964,0,1,0,0,0,0,0,1,0
1964,AUS,AUS1964,6,3,9,2,3,2,4,0,7
1964,BAH,BAH1964,1,0,0,0,0,0,1,0,0
1964,BEL,BEL1964,2,0,1,0,0,0,2,0,1
1964,BRA,BRA1964,0,0,1,0,0,0,0,0,1
1964,BUL,BUL1964,3,5,2,0,0,0,3,5,2
1964,CAN,CAN1964,1,2,1,0,0,0,1,2,1
1964,CUB,CUB1964,0,1,0,0,0,0,0,1,0
1964,DEN,DEN1964,2,1,3,0,0,0,2,1,3
1964,ETH,ETH1964,1,0,0,0,0,0,1,0,0
1964,FIN,FIN1964,3,0,2,0,0,0,3,0,2
1964,FRA,FRA1964,1,6,8,0,0,2,1,6,6
1964,GBR,GBR1964,4,11,3,2,1,2,2,10,1
1964,GER,GER1964,10,18,21,3,1,4,7,17,17
1964,GHA,GHA1964,0,0,1,0,0,0,0,0,1
1964,HUN,HUN1964,10,6,6,2,1,2,8,5,4
1964,IND,IND1964,1,0,0,0,0,0,1,0,0
1964,IRI,IRI1964,0,0,2,0,0,0,0,0,2
1964,IRL,IRL1964,0,0,1,0,0,0,0,0,1
1964,ITA,ITA1964,10,11,6,0,1,0,10,10,6
1964,JPN,JPN1964,16,5,7,1,1,0,15,4,7
1964,KEN,KEN1964,0,0,1,0,0,0,0,0,1
1964,KOR,KOR1964,0,2,1,0,0,0,0,2,1
1964,MEX,MEX1964,0,0,1,0,0,0,0,0,1
1964,NED,NED1964,2,3,5,0,1,2,2,2,3
1964,NGR,NGR1964,0,0,1,0,0,0,0,0,1
1964,NZL,NZL1964,3,1,1,0,1,0,3,0,1
1964,PAK,PAK1964,0,1,0,0,0,0,0,1,0
1964,PHI,PHI1964,0,1,0,0,0,0,0,1,0
1964,POL,POL1964,7,5,11,1,2,3,6,3,8
1964,ROU,ROU1964,2,5,5,2,2,1,0,3,4
1964,SUI,SUI1964,1,2,1,0,0,0,1,2,1
1964,SWE,SWE1964,2,2,4,0,0,0,2,2,4
1964,TCH,TCH1964,5,5,4,3,0,1,2,5,3
1964,TTO,TTO1964,0,1,2,0,0,0,0,1,2
1964,TUN,TUN1964,0,1,1,0,0,0,0,1,1
1964,TUR,TUR1964,2,3,1,0,0,0,2,3,1
1964,URS,URS1964,30,34,30,8,11,6,22,23,24
