,NOC,Year,Medal,Number of Medals
798,FIN,1932,Silver,8
799,FIN,1936,Bronze,6
800,FIN,1936,Gold,8
801,FIN,1936,Silver,6
802,FIN,1948,Bronze,6
803,FIN,1948,Gold,8
804,FIN,1948,Silver,8
805,FIN,1952,Bronze,11
806,FIN,1952,Gold,6
807,FIN,1952,Silver,3
808,FIN,1956,Bronze,11
809,FIN,1956,Gold,3
810,FIN,1956,Silver,1
811,FIN,1960,Bronze,3
812,FIN,1960,Gold,1
813,FIN,1960,Silver,1
814,FIN,1964,Bronze,1
815,FIN,1964,Gold,3
816,FIN,1968,Bronze,1
817,FIN,1968,Gold,1
818,FIN,1968,Silver,2
819,FIN,1972,Bronze,4
820,FIN,1972,Gold,3
821,FIN,1972,Silver,1
822,FIN,1976,Gold,4
823,FIN,1976,Silver,2
824,FIN,1980,Bronze,4
825,FIN,1980,Gold,3
826,FIN,1980,Silver,1
827,FIN,1984,Bronze,5
828,FIN,1984,Gold,4
829,FIN,1984,Silver,2
830,FIN,1988,Bronze,2
831,FIN,1988,Gold,1
832,FIN,1988,Silver,1
833,FIN,1992,Bronze,1
834,FIN,1992,Gold,1
835,FIN,1992,Silver,2
836,FIN,1996,Bronze,1
837,FIN,1996,Gold,1
838,FIN,1996,Silver,2
839,FIN,2000,Bronze,1
840,FIN,2000,Gold,2
841,FIN,2000,Silver,1
842,FIN,2004,Silver,2
843,FIN,2008,Bronze,2
844,FIN,2008,Gold,1
845,FIN,2008,Silver,1
846,FIN,2012,Bronze,2
847,FIN,2012,Silver,1
848,FRA,1896,Bronze,2
849,FRA,1896,Gold,5
850,FRA,1896,Silver,4
851,FRA,1900,Bronze,33
852,FRA,1900,Gold,28
853,FRA,1900,Silver,34
854,FRA,1904,Silver,2
855,FRA,1906,Bronze,16
856,FRA,1906,Gold,15
857,FRA,1906,Silver,9
858,FRA,1908,Bronze,9
859,FRA,1908,Gold,5
860,FRA,1908,Silver,5
861,FRA,1912,Bronze,3
862,FRA,1912,Gold,7
863,FRA,1912,Silver,5
864,FRA,1920,Bronze,13
865,FRA,1920,Gold,9
866,FRA,1920,Silver,20
867,FRA,1924,Bronze,10
868,FRA,1924,Gold,14
869,FRA,1924,Silver,14
870,FRA,1928,Bronze,6
871,FRA,1928,Gold,7
872,FRA,1928,Silver,12
873,FRA,1932,Bronze,4
874,FRA,1932,Gold,11
875,FRA,1932,Silver,5
876,FRA,1936,Bronze,6
877,FRA,1936,Gold,7
878,FRA,1936,Silver,6
879,FRA,1948,Bronze,15
880,FRA,1948,Gold,11
881,FRA,1948,Silver,6
882,FRA,1952,Bronze,5
883,FRA,1952,Gold,6
884,FRA,1952,Silver,6
885,FRA,1956,Bronze,5
886,FRA,1956,Gold,4
887,FRA,1956,Silver,4
888,FRA,1960,Bronze,3
