Nation,NOC,Year,Sport,Event,Medal
Russia,URS,1976,Diving,Diving Men's Platform,Bronze
Russia,URS,1980,Diving,Diving Men's Platform,Silver
Russia,RUS,2000,Shooting,"Shooting Men's Air Rifle, 10 metres",Bronze
Niger,NIG,2016,Taekwondo,Taekwondo Men's Heavyweight,Silver
Russia,URS,1976,Athletics,Athletics Women's Long Jump,Bronze
USA,USA,1984,Basketball,Basketball Men's Basketball,Gold
Sweden,SWE,1924,Football,Football Men's Football,Bronze
Finland,FIN,1912,Sailing,Sailing Mixed 12 metres,Bronze
Brazil,BRA,1948,Basketball,Basketball Men's Basketball,Bronze
Brazil,BRA,1960,Basketball,Basketball Men's Basketball,Bronze
Sweden,SWE,2012,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
USA,USA,2016,Athletics,Athletics Women's 100 metres Hurdles,Silver
India,IND,1928,Hockey,Hockey Men's Hockey,Gold
India,IND,1964,Hockey,Hockey Men's Hockey,Gold
France,FRA,1920,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Iran,IRI,1972,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Silver
France,FRA,1908,Fencing,"Fencing Men's epee, Individual",Gold
France,FRA,1908,Fencing,"Fencing Men's epee, Team",Gold
Russia,RUS,2000,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
Russia,RUS,2004,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze
Croatia,CRO,2012,Handball,Handball Men's Handball,Bronze
Brazil,BRA,2004,Football,Football Women's Football,Silver
Russia,RUS,2004,Shooting,Shooting Men's Trap,Gold
Russia,RUS,2008,Shooting,Shooting Men's Trap,Bronze
Greece,GRE,1906,Gymnastics,Gymnastics Men's Rope Climbing,Gold
Brazil,BRA,2012,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver
Brazil,BRA,2016,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold
Nigeria,NGR,2004,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Russia,RUS,2008,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
Iran,IRI,2016,Taekwondo,Taekwondo Women's Featherweight,Bronze
Belgium,BEL,1920,Archery,"Archery Men's Target Archery, 28 metres, Team",Silver
Belgium,BEL,1920,Archery,"Archery Men's Target Archery, 33 metres, Team",Gold
Belgium,BEL,1920,Archery,"Archery Men's Target Archery, 50 metres, Team",Gold
Algeria,ALG,2000,Boxing,Boxing Men's Light-Welterweight,Bronze
UK,GBR,1984,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
UK,GBR,1984,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Bronze
UK,GBR,1988,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Silver
France,FRA,1900,Football,Football Men's Football,Silver
USA,USA,1972,Sailing,Sailing Mixed Three Person Keelboat,Gold
USA,USA,1996,Baseball,Baseball Men's Baseball,Bronze
Austria,AUT,2004,Triathlon,Triathlon Women's Olympic Distance,Gold
Australia,AUS,2000,Hockey,Hockey Women's Hockey,Gold
Jamaica,JAM,2016,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
India,IND,1932,Hockey,Hockey Men's Hockey,Gold
India,IND,1936,Hockey,Hockey Men's Hockey,Gold
USA,USA,1920,Polo,Polo Men's Polo,Bronze
USA,USA,2008,Rowing,Rowing Men's Coxed Eights,Bronze
Australia,AUS,2000,Softball,Softball Women's Softball,Bronze
Australia,AUS,2004,Softball,Softball Women's Softball,Silver
Australia,AUS,2008,Softball,Softball Women's Softball,Bronze
UK,GBR,2000,Modern Pentathlon,Modern Pentathlon Women's Individual,Bronze
Norway,NOR,1920,Sailing,Sailing Mixed 12 metres,Gold
Denmark,DEN,1912,Rowing,"Rowing Men's Coxed Fours, Inriggers",Gold
Trinidad,TTO,2012,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
UK,GBR,1968,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
UK,GBR,1968,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
UK,GBR,1908,Hockey,Hockey Men's Hockey,Silver
Italy,ITA,1920,Fencing,"Fencing Men's epee, Team",Gold
USA,USA,1964,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Italy,ITA,2004,Water Polo,Water Polo Women's Water Polo,Gold
Sweden,SWE,1920,Athletics,"Athletics Men's Cross-Country, Team",Bronze
Argentina,ARG,1996,Football,Football Men's Football,Silver
Sweden,SWE,1936,Fencing,"Fencing Men's epee, Team",Silver
Canada,CAN,1904,Lacrosse,Lacrosse Men's Lacrosse,Bronze
Sweden,SWE,1952,Sailing,Sailing Mixed Three Person Keelboat,Silver
Sweden,SWE,1912,Athletics,Athletics Men's Triple Jump,Bronze
Sweden,SWE,1920,Athletics,Athletics Men's Triple Jump,Bronze
Sweden,SWE,1920,Sailing,Sailing Mixed 40 metres,Silver
Sweden,SWE,1948,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
Russia,RUS,2012,Boxing,Boxing Men's Flyweight,Bronze
Nigeria,NGR,2000,Athletics,Athletics Women's 100 metres Hurdles,Silver
Sweden,SWE,2000,Swimming,Swimming Women's 50 metres Freestyle,Silver
Sweden,SWE,2000,Swimming,Swimming Women's 100 metres Freestyle,Silver
Sweden,SWE,2000,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Russia,URS,1988,Fencing,"Fencing Men's Sabre, Team",Silver
Norway,NOR,2012,Handball,Handball Women's Handball,Gold
Norway,NOR,2016,Handball,Handball Women's Handball,Bronze
Germany,GER,2008,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
Germany,GER,1992,Rowing,Rowing Women's Coxless Pairs,Silver
Italy,ITA,1912,Athletics,Athletics Men's 10 kilometres Walk,Bronze
Chile,CHI,2000,Football,Football Men's Football,Bronze
Spain,ESP,1928,Equestrianism,"Equestrianism Men's Jumping, Team",Gold
Cuba,CUB,1972,Basketball,Basketball Men's Basketball,Bronze
Cuba,CUB,2012,Boxing,Boxing Men's Bantamweight,Bronze
Cuba,CUB,2016,Boxing,Boxing Men's Lightweight,Bronze
Colombia,COL,2012,Judo,Judo Women's Middleweight,Bronze
Colombia,COL,2016,Judo,Judo Women's Middleweight,Silver
Brazil,BRA,2012,Volleyball,Volleyball Men's Volleyball,Silver
Italy,ITA,1920,Equestrianism,"Equestrianism Men's Jumping, Team",Bronze
Italy,ITA,1924,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Bronze
Egypt,EGY,2004,Boxing,Boxing Men's Super-Heavyweight,Silver
Russia,URS,1980,Fencing,"Fencing Men's Sabre, Team",Gold
Russia,RUS,2000,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Luxembourg,LUX,1920,Weightlifting,Weightlifting Men's Heavyweight,Silver
USA,USA,1904,Rowing,Rowing Men's Coxless Fours,Silver
Romania,ROU,1996,Gymnastics,Gymnastics Women's Individual All-Around,Bronze
Romania,ROU,1996,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Romania,ROU,1996,Gymnastics,Gymnastics Women's Floor Exercise,Silver
Romania,ROU,1996,Gymnastics,Gymnastics Women's Horse Vault,Gold
Romania,ROU,2000,Gymnastics,Gymnastics Women's Individual All-Around,Gold
Romania,ROU,2000,Gymnastics,Gymnastics Women's Team All-Around,Gold
Romania,ROU,2000,Gymnastics,Gymnastics Women's Floor Exercise,Bronze
Germany,GER,1928,Water Polo,Water Polo Men's Water Polo,Gold
Italy,ITA,2004,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
Ghana,GHA,1972,Boxing,Boxing Men's Middleweight,Bronze
Spain,ESP,1996,Hockey,Hockey Men's Hockey,Silver
France,FRA,1996,Shooting,"Shooting Men's Air Rifle, 10 metres",Bronze
France,FRA,1996,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold
Spain,ESP,1980,Hockey,Hockey Men's Hockey,Silver
Spain,ESP,1960,Hockey,Hockey Men's Hockey,Bronze
Spain,ESP,1932,Sailing,Sailing Mixed One Person Dinghy,Bronze
Argentina,ARG,2000,Sailing,Sailing Women's One Person Dinghy,Bronze
Brazil,BRA,1984,Volleyball,Volleyball Men's Volleyball,Silver
Brazil,BRA,1992,Volleyball,Volleyball Men's Volleyball,Gold
Brazil,BRA,1964,Basketball,Basketball Men's Basketball,Bronze
Italy,ITA,1960,Water Polo,Water Polo Men's Water Polo,Gold
Italy,ITA,1928,Gymnastics,Gymnastics Women's Team All-Around,Silver
USA,USA,2000,Softball,Softball Women's Softball,Gold
Italy,ITA,1920,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
Hungary,HUN,1964,Water Polo,Water Polo Men's Water Polo,Gold
Sweden,SWE,1948,Sailing,Sailing Mixed 6 metres,Bronze
Germany,GDR,1972,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
Russia,URS,1952,Rowing,Rowing Men's Coxed Eights,Silver
USA,USA,1964,Rowing,Rowing Men's Coxed Eights,Gold
Germany,GER,1900,Rowing,Rowing Men's Coxed Fours,Bronze
Germany,FRG,1976,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
Nigeria,NGR,1996,Football,Football Men's Football,Gold
UK,GBR,1908,Shooting,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",Gold
UK,GBR,1908,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",Bronze
Australia,AUS,1964,Athletics,Athletics Women's 400 metres,Bronze
Botswana,BOT,2012,Athletics,Athletics Men's 800 metres,Silver
Switzerland,SUI,1920,Shooting,"Shooting Men's Military Pistol, Team",Bronze
Switzerland,SUI,1920,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Bronze
Armenia,ARM,2008,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze
UK,GBR,1908,Fencing,"Fencing Men's epee, Team",Silver
Germany,GDR,1988,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
Germany,GER,1900,Rugby,Rugby Men's Rugby,Silver
Tunisia,TUN,2016,Wrestling,"Wrestling Women's Lightweight, Freestyle",Bronze
France,FRA,1920,Fencing,"Fencing Men's Foil, Team",Silver
France,FRA,1920,Fencing,"Fencing Men's epee, Team",Bronze
France,FRA,1928,Fencing,"Fencing Men's epee, Team",Silver
Canada,CAN,1976,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Norway,NOR,1908,Gymnastics,Gymnastics Men's Team All-Around,Silver
Norway,NOR,1912,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Bronze
Norway,NOR,1968,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
Norway,NOR,1972,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
Canada,CAN,1936,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
South Korea,KOR,2016,Judo,Judo Men's Half-Lightweight,Silver
South Korea,KOR,1984,Judo,Judo Men's Lightweight,Gold
South Korea,KOR,1988,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze
South Korea,KOR,1992,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Gold
South Korea,KOR,1988,Table Tennis,Table Tennis Men's Doubles,Bronze
South Korea,KOR,2008,Handball,Handball Women's Handball,Bronze
North Korea,PRK,2008,Judo,Judo Women's Half-Lightweight,Silver
North Korea,PRK,2012,Judo,Judo Women's Half-Lightweight,Gold
South Korea,KOR,1984,Boxing,Boxing Men's Welterweight,Silver
China,CHN,1996,Softball,Softball Women's Softball,Silver
Brazil,BRA,1996,Volleyball,Volleyball Women's Volleyball,Bronze
Bulgaria,BUL,1980,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bronze
Belarus,BLR,2000,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
Italy,ITA,1992,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
Serbia,YUG,1980,Handball,Handball Women's Handball,Silver
Serbia,YUG,1984,Handball,Handball Women's Handball,Gold
Croatia,CRO,2004,Tennis,Tennis Men's Doubles,Bronze
Netherlands,NED,1952,Hockey,Hockey Men's Hockey,Silver
Poland,POL,1972,Football,Football Men's Football,Gold
France,FRA,2016,Judo,Judo Women's Heavyweight,Gold
Sweden,SWE,1948,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Silver
Sweden,SWE,1952,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
USA,USA,1984,Hockey,Hockey Women's Hockey,Bronze
Denmark,DEN,1906,Football,Football Men's Football,Gold
Denmark,DEN,1908,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
Denmark,DEN,1996,Handball,Handball Women's Handball,Gold
Denmark,DEN,2016,Rowing,Rowing Women's Coxless Pairs,Bronze
Denmark,DEN,1912,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Bronze
Denmark,DEN,2000,Handball,Handball Women's Handball,Gold
Denmark,DEN,1906,Gymnastics,Gymnastics Men's Team All-Around,Silver
Norway,NOR,1900,Athletics,Athletics Men's Pole Vault,Bronze
Norway,NOR,1906,Gymnastics,Gymnastics Men's Team All-Around,Gold
Denmark,DEN,1948,Rowing,Rowing Men's Coxed Pairs,Gold
Denmark,DEN,1948,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
Norway,NOR,1920,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Bronze
Denmark,DEN,1948,Swimming,Swimming Women's 100 metres Freestyle,Gold
Denmark,DEN,1948,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
Norway,NOR,1988,Handball,Handball Women's Handball,Silver
Denmark,DEN,2004,Handball,Handball Women's Handball,Gold
Norway,NOR,1992,Sailing,Sailing Women's One Person Dinghy,Gold
Denmark,DEN,2008,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
Denmark,DEN,1908,Football,Football Men's Football,Silver
Denmark,DEN,1912,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Bronze
Finland,FIN,1928,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
Denmark,DEN,1912,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver
Denmark,DEN,1960,Football,Football Men's Football,Silver
Norway,NOR,1984,Athletics,Athletics Women's Marathon,Silver
Brazil,BRA,2004,Volleyball,Volleyball Men's Volleyball,Gold
Brazil,BRA,2008,Volleyball,Volleyball Men's Volleyball,Silver
USA,USA,2012,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
USA,USA,2000,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
USA,USA,2008,Baseball,Baseball Men's Baseball,Bronze
USA,USA,1948,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
Australia,AUS,2004,Baseball,Baseball Men's Baseball,Silver
Australia,AUS,1952,Rowing,Rowing Men's Coxed Eights,Bronze
Canada,CAN,1960,Rowing,Rowing Men's Coxed Eights,Silver
USA,USA,1964,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Gold
USA,USA,1968,Shooting,"Shooting Mixed Free Rifle, Three Positions, 300 metres",Gold
New Zealand,NZL,1992,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze
USA,USA,2012,Swimming,Swimming Women's 10 kilometres Open Water,Silver
USA,USA,1932,Athletics,Athletics Men's Discus Throw,Gold
Australia,AUS,1972,Sailing,Sailing Mixed Two Person Keelboat,Gold
USA,USA,2016,Volleyball,Volleyball Men's Volleyball,Bronze
USA,USA,1948,Diving,Diving Men's Springboard,Silver
USA,USA,1952,Diving,Diving Men's Springboard,Silver
USA,USA,1956,Weightlifting,Weightlifting Men's Heavyweight,Gold
Australia,AUS,1984,Sailing,Sailing Mixed Multihull,Bronze
USA,USA,1928,Athletics,Athletics Men's 110 metres Hurdles,Silver
Canada,CAN,1908,Cycling,"Cycling Men's Team Pursuit, 1,980 yards",Bronze
UK,GBR,1900,Cricket,Cricket Men's Cricket,Silver
USA,USA,1988,Basketball,Basketball Men's Basketball,Bronze
Sweden,SWE,1984,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold
Sweden,SWE,1984,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
Sweden,SWE,1984,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
Sweden,SWE,1992,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
Sweden,SWE,1992,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze
Sweden,SWE,1996,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
Sweden,SWE,1996,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze
Sweden,SWE,1920,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Silver
Sweden,SWE,1912,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
Sweden,SWE,1920,Water Polo,Water Polo Men's Water Polo,Bronze
Sweden,SWE,1984,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
Sweden,SWE,1948,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Gold
Sweden,SWE,1952,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Silver
Sweden,SWE,1912,Athletics,"Athletics Men's Cross-Country, Individual",Silver
Sweden,SWE,1912,Athletics,"Athletics Men's Cross-Country, Team",Gold
Sweden,SWE,2016,Football,Football Women's Football,Silver
Sweden,SWE,2012,Handball,Handball Men's Handball,Silver
Sweden,SWE,1992,Handball,Handball Men's Handball,Silver
Sweden,SWE,1996,Handball,Handball Men's Handball,Silver
Sweden,SWE,2000,Handball,Handball Men's Handball,Silver
Sweden,SWE,1908,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Silver
Australia,AUS,1992,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
Sweden,SWE,1908,Water Polo,Water Polo Men's Water Polo,Bronze
Sweden,SWE,1912,Water Polo,Water Polo Men's Water Polo,Silver
Sweden,SWE,1948,Football,Football Men's Football,Gold
Sweden,SWE,1936,Wrestling,"Wrestling Men's Welterweight, Freestyle",Silver
Russia,URS,1976,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
Russia,URS,1980,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
Japan,JPN,1976,Weightlifting,Weightlifting Men's Bantamweight,Bronze
Japan,JPN,2012,Football,Football Women's Football,Silver
Japan,JPN,2000,Softball,Softball Women's Softball,Silver
Argentina,ARG,1936,Polo,Polo Men's Polo,Gold
Uruguay,URU,1924,Football,Football Men's Football,Gold
Uruguay,URU,1928,Football,Football Men's Football,Gold
USA,USA,1956,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
France,FRA,1908,Athletics,Athletics Men's High Jump,Silver
France,FRA,1920,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
USA,USA,1964,Diving,Diving Men's Springboard,Bronze
Norway,NOR,1976,Rowing,Rowing Men's Coxless Fours,Silver
Italy,ITA,1984,Athletics,Athletics Men's Shot Put,Gold
Romania,ROU,1980,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
Romania,ROU,1984,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
Brazil,BRA,2008,Football,Football Women's Football,Silver
Italy,ITA,1920,Gymnastics,Gymnastics Men's Team All-Around,Gold
Italy,ITA,1964,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
Greece,GRE,1896,Swimming,"Swimming Men's 1,200 metres Freestyle",Silver
Denmark,DEN,1956,Sailing,Sailing Mixed Three Person Keelboat,Silver
Australia,AUS,1960,Swimming,Swimming Women's 100 metres Butterfly,Bronze
Australia,AUS,1960,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
USA,USA,1904,Cycling,Cycling Men's 5 mile,Bronze
USA,USA,1904,Cycling,Cycling Men's 25 mile,Silver
Australia,AUS,1996,Hockey,Hockey Women's Hockey,Gold
USA,USA,1984,Swimming,Swimming Women's 100 metres Backstroke,Gold
USA,USA,1984,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
Russia,URS,1952,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Bronze
Russia,URS,1952,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Silver
Russia,URS,1980,Football,Football Men's Football,Bronze
Russia,URS,1968,Basketball,Basketball Men's Basketball,Bronze
Russia,RUS,2000,Athletics,Athletics Men's 20 kilometres Walk,Bronze
Greece,GRE,1896,Gymnastics,Gymnastics Men's Rope Climbing,Gold
Russia,URS,1972,Gymnastics,Gymnastics Men's Team All-Around,Silver
Russia,URS,1972,Gymnastics,Gymnastics Men's Floor Exercise,Gold
Russia,URS,1972,Gymnastics,Gymnastics Men's Horse Vault,Bronze
Russia,URS,1976,Gymnastics,Gymnastics Men's Individual All-Around,Gold
Russia,URS,1976,Gymnastics,Gymnastics Men's Team All-Around,Silver
Russia,URS,1976,Gymnastics,Gymnastics Men's Floor Exercise,Gold
Russia,URS,1976,Gymnastics,Gymnastics Men's Horse Vault,Gold
Russia,URS,1976,Gymnastics,Gymnastics Men's Parallel Bars,Silver
Russia,URS,1976,Gymnastics,Gymnastics Men's Rings,Gold
Russia,URS,1976,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
Russia,URS,1980,Gymnastics,Gymnastics Men's Individual All-Around,Silver
Russia,URS,1980,Gymnastics,Gymnastics Men's Team All-Around,Gold
Russia,URS,1980,Gymnastics,Gymnastics Men's Floor Exercise,Silver
Russia,URS,1980,Gymnastics,Gymnastics Men's Horse Vault,Gold
Russia,URS,1980,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze
Russia,URS,1972,Football,Football Men's Football,Bronze
Serbia,YUG,1984,Water Polo,Water Polo Men's Water Polo,Gold
Serbia,YUG,1988,Water Polo,Water Polo Men's Water Polo,Gold
France,FRA,1996,Rowing,Rowing Men's Coxless Pairs,Bronze
France,FRA,2000,Rowing,Rowing Men's Coxless Pairs,Gold
Romania,ROU,1996,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bronze
Ukraine,UKR,2012,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
Czech Republic,TCH,1964,Rowing,Rowing Men's Double Sculls,Bronze
Austria,AUT,1928,Weightlifting,Weightlifting Men's Featherweight,Gold
Russia,RUS,2008,Handball,Handball Women's Handball,Silver
Poland,POL,1968,Fencing,"Fencing Men's epee, Team",Bronze
Poland,POL,2008,Fencing,"Fencing Men's epee, Team",Silver
Argentina,ARG,1928,Fencing,"Fencing Men's Foil, Team",Bronze
Italy,ITA,1996,Water Polo,Water Polo Men's Water Polo,Bronze
Bulgaria,BUL,1972,Boxing,Boxing Men's Light-Welterweight,Silver
Bulgaria,BUL,1972,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Bronze
Bulgaria,BUL,1976,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Bronze
Bulgaria,BUL,1980,Volleyball,Volleyball Men's Volleyball,Silver
